payment_id,customer_id,merchant_id,amount,timestamp,failure_code,failure_category,previous_successes,previous_failures,retry_count,customer_ltv,subscription_age_days,days_since_last_payment,payment_method,contact_channel_pref,ground_truth_recoverable,ground_truth_best_action,outcome,is_planted_edge_case
PMT-00028,CUST-0442,MER-001,46434.69,2026-07-28T00:03:26,CARD_EXPIRED,CUSTOMER_ACTION_NEEDED,7,5,2,287315.17,1068,34,CARD,EMAIL,True,SEND_UPDATE_LINK,RECOVERED,False
PMT-00029,CUST-0197,MER-004,2206.15,2026-08-09T03:16:47,ISSUER_UNAVAILABLE,TEMPORARY,39,4,2,77315.79,861,34,UPI,WHATSAPP,True,RETRY_LATER,RECOVERED,False
PMT-00030,CUST-0453,MER-004,2800.28,2026-08-13T13:32:15,ISSUER_UNAVAILABLE,TEMPORARY,47,1,0,118404.5,611,41,CARD,SMS,False,RETRY_LATER,PENDING,False
PMT-00031,CUST-0241,MER-003,178.85,2026-05-30T20:54:55,BANK_TIMEOUT,TEMPORARY,30,4,0,4395.83,962,31,NETBANKING,EMAIL,True,RETRY_NOW,RECOVERED,False
PMT-00032,CUST-0705,MER-001,43719.83,2026-08-22T11:17:00,BANK_TIMEOUT,TEMPORARY,27,1,1,1125510.17,1090,39,UPI,EMAIL,True,RETRY_NOW,RECOVERED,False
PMT-00033,CUST-0821,MER-004,4945.52,2026-07-25T07:30:16,CARD_EXPIRED,CUSTOMER_ACTION_NEEDED,48,3,3,208155.55,1152,40,CARD,WHATSAPP,True,SEND_UPDATE_LINK,RECOVERED,False
PMT-00034,CUST-0797,MER-005,1576.61,2026-07-10T04:58:38,BANK_TIMEOUT,TEMPORARY,18,1,2,26159.97,717,35,NETBANKING,EMAIL,True,RETRY_LATER,RECOVERED,False
PMT-00035,CUST-0157,MER-002,262.45,2026-07-20T04:22:32,CARD_DECLINED_SOFT,AMBIGUOUS,3,1,3,1283.27,827,25,NETBANKING,WHATSAPP,True,RETRY_LATER,RECOVERED,False
PMT-00036,CUST-0361,MER-003,4340.52,2026-08-17T15:23:20,CARD_DECLINED_SOFT,AMBIGUOUS,47,5,1,177131.08,1029,32,UPI,SMS,False,STOP,NOT_RECOVERED,False
PMT-00037,CUST-0818,MER-004,4282.28,2026-08-25T18:41:14,BANK_TIMEOUT,TEMPORARY,39,4,0,139723.8,836,27,CARD,EMAIL,True,RETRY_NOW,RECOVERED,False
PMT-00038,CUST-0389,MER-003,230.07,2026-08-10T09:47:37,ISSUER_UNAVAILABLE,TEMPORARY,17,3,2,3149.64,197,40,UPI,SMS,True,RETRY_LATER,RECOVERED,False
PMT-00039,CUST-0666,MER-001,3432.9,2026-08-09T17:29:26,BANK_TIMEOUT,TEMPORARY,15,1,0,46903.45,342,28,CARD,EMAIL,True,RETRY_NOW,RECOVERED,False
PMT-00040,CUST-0172,MER-005,3865.67,2026-06-08T14:52:51,OTP_TIMEOUT,TEMPORARY,10,2,0,43526.43,82,34,CARD,WHATSAPP,True,RETRY_NOW,PENDING,False
PMT-00041,CUST-0204,MER-001,4237.57,2026-06-21T01:52:48,BANK_TIMEOUT,TEMPORARY,19,5,0,74056.26,1189,38,CARD,EMAIL,True,RETRY_NOW,RECOVERED,False
PMT-00042,CUST-0431,MER-004,484.28,2026-07-29T05:01:14,ISSUER_UNAVAILABLE,TEMPORARY,29,5,1,11763.92,921,30,NETBANKING,WHATSAPP,True,RETRY_NOW,NOT_RECOVERED,False
PMT-00043,CUST-0552,MER-004,4215.81,2026-07-25T00:33:57,CARD_EXPIRED,CUSTOMER_ACTION_NEEDED,15,0,2,57276.8,953,44,CARD,EMAIL,True,SEND_UPDATE_LINK,RECOVERED,False
PMT-00044,CUST-0500,MER-002,202.6,2026-06-24T15:39:05,ISSUER_UNAVAILABLE,TEMPORARY,44,2,0,8475.63,1088,31,UPI,SMS,True,RETRY_NOW,RECOVERED,False
PMT-00045,CUST-0708,MER-004,2708.7,2026-08-13T11:40:03,BANK_TIMEOUT,TEMPORARY,18,1,3,41407.71,528,40,CARD,EMAIL,True,RETRY_LATER,RECOVERED,False
PMT-00046,CUST-0361,MER-004,199.81,2026-06-09T05:08:54,OTP_TIMEOUT,TEMPORARY,20,0,1,4091.53,422,31,NETBANKING,EMAIL,True,RETRY_NOW,RECOVERED,False
PMT-00047,CUST-0612,MER-003,42468.28,2026-06-26T06:18:15,INSUFFICIENT_FUNDS,AMBIGUOUS,11,2,0,438584.89,1123,26,CARD,SMS,False,STOP,PENDING,False
PMT-00048,CUST-0503,MER-001,30832.89,2026-07-13T01:46:26,CARD_DECLINED_SOFT,AMBIGUOUS,21,1,0,596182.88,547,40,UPI,EMAIL,True,RETRY_LATER,RECOVERED,False
PMT-00049,CUST-0703,MER-001,424.27,2026-06-26T23:59:17,BANK_TIMEOUT,TEMPORARY,15,0,3,5861.09,492,39,UPI,SMS,True,RETRY_LATER,RECOVERED,False
PMT-00050,CUST-0062,MER-005,9465.51,2026-08-10T13:18:22,INSUFFICIENT_FUNDS,AMBIGUOUS,13,2,0,92464.96,351,32,UPI,EMAIL,False,STOP,NOT_RECOVERED,False
PMT-00051,CUST-0609,MER-004,191.82,2026-08-05T03:19:35,CARD_EXPIRED,CUSTOMER_ACTION_NEEDED,29,0,1,5133.02,571,31,CARD,SMS,True,SEND_UPDATE_LINK,PENDING,False
PMT-00052,CUST-0847,MER-002,165.54,2026-06-27T08:47:14,CARD_DECLINED_HARD,PERMANENT,36,2,3,4912.79,284,39,CARD,SMS,True,RETRY_LATER,RECOVERED,False
PMT-00053,CUST-0506,MER-004,114.98,2026-07-09T10:41:59,OTP_TIMEOUT,TEMPORARY,38,2,0,3977.79,217,43,CARD,EMAIL,True,RETRY_NOW,NOT_RECOVERED,False
PMT-00054,CUST-0591,MER-001,1288.36,2026-07-17T21:16:24,RISK_FLAGGED,AMBIGUOUS,17,1,3,23537.65,1037,27,CARD,SMS,True,ESCALATE_HUMAN,RECOVERED,False
PMT-00055,CUST-0422,MER-004,478.02,2026-08-15T11:44:46,OTP_TIMEOUT,TEMPORARY,2,3,0,853.28,674,37,NETBANKING,WHATSAPP,False,RETRY_LATER,PENDING,False
PMT-00056,CUST-0474,MER-004,306.89,2026-07-27T22:50:31,OTP_TIMEOUT,TEMPORARY,40,3,0,11352.69,446,33,CARD,WHATSAPP,True,RETRY_NOW,RECOVERED,False
PMT-00057,CUST-0125,MER-001,32399.23,2026-06-20T17:36:12,OTP_TIMEOUT,TEMPORARY,19,4,0,515308.96,1161,28,CARD,EMAIL,True,RETRY_NOW,RECOVERED,False
PMT-00058,CUST-0734,MER-003,1730.41,2026-08-17T13:02:51,CARD_DECLINED_SOFT,AMBIGUOUS,30,1,3,48070.31,1158,29,CARD,WHATSAPP,True,RETRY_LATER,NOT_RECOVERED,False
PMT-00059,CUST-0885,MER-001,415.79,2026-07-07T18:53:09,CARD_EXPIRED,CUSTOMER_ACTION_NEEDED,32,2,0,11737.11,609,43,WALLET,SMS,True,SEND_UPDATE_LINK,RECOVERED,False
PMT-00060,CUST-0354,MER-003,2945.44,2026-07-11T17:01:47,ISSUER_UNAVAILABLE,TEMPORARY,12,5,1,20708.05,814,32,NETBANKING,SMS,True,RETRY_NOW,RECOVERED,False
PMT-00061,CUST-0936,MER-004,365.14,2026-08-16T04:28:49,RISK_FLAGGED,AMBIGUOUS,9,3,0,1982.3,288,28,NETBANKING,SMS,True,ESCALATE_HUMAN,RECOVERED,False
PMT-00062,CUST-0420,MER-002,412.39,2026-06-23T05:32:52,CARD_EXPIRED,CUSTOMER_ACTION_NEEDED,44,3,0,16314.79,702,42,CARD,EMAIL,True,SEND_UPDATE_LINK,RECOVERED,False
PMT-00063,CUST-0894,MER-005,126.44,2026-07-28T18:42:42,RISK_FLAGGED,AMBIGUOUS,18,1,0,2471.83,918,28,CARD,SMS,True,ESCALATE_HUMAN,RECOVERED,False
PMT-00064,CUST-0301,MER-003,157.37,2026-07-19T01:42:26,CARD_DECLINED_SOFT,AMBIGUOUS,43,1,1,6018.03,388,27,CARD,EMAIL,True,RETRY_LATER,RECOVERED,False
PMT-00065,CUST-0598,MER-002,354.8,2026-07-12T02:52:36,INSUFFICIENT_FUNDS,AMBIGUOUS,0,3,2,418.73,1149,36,WALLET,EMAIL,True,RETRY_LATER,RECOVERED,False
PMT-00066,CUST-0468,MER-003,253.26,2026-07-14T09:57:23,BANK_TIMEOUT,TEMPORARY,24,4,2,5928.42,635,34,UPI,WHATSAPP,True,RETRY_LATER,RECOVERED,False
PMT-00067,CUST-0886,MER-001,38532.75,2026-08-17T08:39:19,ISSUER_UNAVAILABLE,TEMPORARY,18,1,2,554070.06,478,29,CARD,WHATSAPP,True,RETRY_LATER,RECOVERED,False
PMT-00068,CUST-0452,MER-001,3795.62,2026-06-06T06:01:33,ISSUER_UNAVAILABLE,TEMPORARY,20,5,3,60319.57,389,31,UPI,SMS,True,RETRY_LATER,RECOVERED,False
PMT-00069,CUST-0936,MER-003,1656.37,2026-08-16T13:39:59,ISSUER_UNAVAILABLE,TEMPORARY,18,5,2,25548.24,265,32,NETBANKING,SMS,True,RETRY_LATER,PENDING,False
PMT-00070,CUST-0824,MER-005,416.06,2026-05-29T20:25:58,CARD_EXPIRED,CUSTOMER_ACTION_NEEDED,7,3,2,2686.26,566,43,CARD,SMS,True,SEND_UPDATE_LINK,RECOVERED,False
